Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,fra-Message.VoiceName,text,Reed,
,fra-Message.SynthLangString,text,French,
,fra-PCCursor.DisplayName,text,PC Cursor,
,fra-PCCursor.Rate,"range(40,150)",57,
,fra-PCCursor.Pitch,"range(1,100)",65,
,fra-PCCursor.Volume,"range(0,100)",100,
,fra-PCCursor.Punctuation,"range(0,3)",2,
,fra-PCCursor.SpellRateDelta,Integer,-20,
,fra-PCCursor.UpperCasePitchDelta,Integer,20,
,fra-PCCursor.Parent,text,Global,
,fra-PCCursor.VoiceName,text,Reed,
,fra-PCCursor.SynthLangString,text,French,
,frc-Global.DisplayName,text,Global,
,frc-Global.Rate,"range(40,150)",57,
,frc-Global.Pitch,"range(1,100)",65,
,frc-Global.Volume,"range(0,100)",100,
,frc-Global.Punctuation,"range(0,3)",2,
,frc-Global.SpellRateDelta,Integer,-20,
,frc-Global.UpperCasePitchDelta,Integer,20,
,frc-Global.Parent,text,None,
,frc-Global.VoiceName,text,Reed,
,frc-Global.SynthLangString,text,French Canadian,
,frc-JAWSCursor.DisplayName,text,JAWS Cursor,
,frc-JAWSCursor.Rate,"range(40,150)",57,
,frc-JAWSCursor.Pitch,"range(1,100)",58,
,frc-JAWSCursor.Volume,"range(0,100)",100,
,frc-JAWSCursor.Punctuation,"range(0,3)",2,
,frc-JAWSCursor.SpellRateDelta,Integer,-20,
,frc-JAWSCursor.UpperCasePitchDelta,Integer,20,
,frc-JAWSCursor.Parent,text,Global,
,frc-JAWSCursor.VoiceName,text,Glen,
,frc-JAWSCursor.SynthLangString,text,French Canadian,
,frc-Keyboard.DisplayName,text,Keyboard,
,frc-Keyboard.Rate,"range(40,150)",57,
,frc-Keyboard.Pitch,"range(1,100)",65,
,frc-Keyboard.Volume,"range(0,100)",100,
,frc-Keyboard.Punctuation,"range(0,3)",2,
,frc-Keyboard.SpellRateDelta,Integer,-20,
,frc-Keyboard.UpperCasePitchDelta,Integer,20,
,frc-Keyboard.Parent,text,Global,
,frc-Keyboard.VoiceName,text,Reed,
,frc-Keyboard.SynthLangString,text,French Canadian,
,frc-MenuAndDialog.DisplayName,text,Menu and Dialog,
,frc-MenuAndDialog.Rate,"range(40,150)",57,
,frc-MenuAndDialog.Pitch,"range(1,100)",65,
,frc-MenuAndDialog.Volume,"range(0,100)",100,
,frc-MenuAndDialog.Punctuation,"range(0,3)",2,
,frc-MenuAndDialog.SpellRateDelta,Integer,-20,
,frc-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,frc-MenuAndDialog.Parent,text,Global,
,frc-MenuAndDialog.VoiceName,text,Reed,
,frc-MenuAndDialog.SynthLangString,text,French Canadian,
,frc-Message.DisplayName,text,Message,
,frc-Message.Rate,"range(40,150)",57,
,frc-Message.Pitch,"range(1,100)",60,
,frc-Message.Volume,"range(0,100)",100,
,frc-Message.Punctuation,"range(0,3)",0,
,frc-Message.SpellRateDelta,Integer,-20,
